antecedent,consequent,support,confidence,lift
district=murshidabad;stream=b.e/b. tech,quota=home state,0.023299,0.82199,1.33711
category=open;program=mechanical engineering,quota=all india,0.029383,0.808163,2.097769
program=computer science & engineering (artificial intelligence and machine learning),category=open,0.026786,0.764831,1.728886
program=computer science & engineering (artificial intelligence and machine learning),quota=all india,0.026786,0.764831,1.985289
program=computer science & engineering (artificial intelligence and machine learning);stream=b.e/b. tech,category=open,0.026786,0.764831,1.728886
program=computer science & engineering (artificial intelligence and machine learning);stream=b.e/b. tech,quota=all india,0.026786,0.764831,1.985289
district=nadia,quota=home state,0.056467,0.722011,1.174478
district=nadia;stream=b.e/b. tech,quota=home state,0.056467,0.722011,1.174478
district=south 24 parganas,category=open,0.047859,0.683987,1.546142
district=south 24 parganas,quota=all india,0.047859,0.683987,1.775442
district=south 24 parganas;stream=b.e/b. tech,category=open,0.047859,0.683987,1.546142
district=south 24 parganas;stream=b.e/b. tech,quota=all india,0.047859,0.683987,1.775442
district=kolkata,quota=home state,0.231654,0.683002,1.111021
district=kolkata;stream=b.e/b. tech,quota=home state,0.231654,0.683002,1.111021
district=kolkata;program=information technology,quota=home state,0.024931,0.65625,1.067505
district=kolkata;program=computer science & engineering,quota=home state,0.021889,0.637149,1.036434
program=electronics & communication engineering,category=open,0.044817,0.623323,1.409011
program=electronics & communication engineering;stream=b.e/b. tech,category=open,0.044817,0.623323,1.409011
district=north 24 parganas,category=open,0.070565,0.615933,1.392305
district=north 24 parganas;stream=b.e/b. tech,category=open,0.070565,0.615933,1.392305
stream=b.e/b. tech,quota=home state,0.608296,0.612614,0.996524
program=information technology,quota=home state,0.057283,0.609313,0.991155
program=information technology;stream=b.e/b. tech,quota=home state,0.057283,0.609313,0.991155
district=hooghly,quota=home state,0.033539,0.592398,0.96364
district=hooghly;stream=b.e/b. tech,quota=home state,0.033539,0.592398,0.96364
district=purba medinipur,category=open,0.025302,0.582906,1.317649
district=purba medinipur,quota=all india,0.025302,0.582906,1.513063
district=purba medinipur;stream=b.e/b. tech,category=open,0.025302,0.582906,1.317649
district=purba medinipur;stream=b.e/b. tech,quota=all india,0.025302,0.582906,1.513063
program=civil engineering,category=open,0.033316,0.581606,1.314711
program=civil engineering;stream=b.e/b. tech,category=open,0.033316,0.581606,1.314711
program=mechanical engineering,quota=home state,0.040736,0.580952,0.945021
program=mechanical engineering;stream=b.e/b. tech,quota=home state,0.040736,0.580952,0.945021
district=north 24 parganas,quota=all india,0.066187,0.57772,1.499602
district=north 24 parganas;stream=b.e/b. tech,quota=all india,0.066187,0.57772,1.499602
program=electronics & communication engineering,quota=all india,0.040142,0.558308,1.449212
program=electronics & communication engineering;stream=b.e/b. tech,quota=all india,0.040142,0.558308,1.449212
program=electrical engineering,quota=home state,0.053647,0.546485,0.888954
program=electrical engineering;stream=b.e/b. tech,quota=home state,0.053647,0.546485,0.888954
program=computer science & engineering,quota=home state,0.076352,0.534823,0.869984
program=computer science & engineering;stream=b.e/b. tech,quota=home state,0.076352,0.534823,0.869984
program=electrical engineering,category=open,0.05246,0.534392,1.207983
program=electrical engineering;stream=b.e/b. tech,category=open,0.05246,0.534392,1.207983
district=paschim bardhaman,category=open,0.04311,0.531565,1.201593
district=paschim bardhaman,quota=all india,0.04311,0.531565,1.379795
district=paschim bardhaman;stream=b.e/b. tech,category=open,0.042962,0.530706,1.199651
district=paschim bardhaman;stream=b.e/b. tech,quota=all india,0.042962,0.530706,1.377566
program=computer science & engineering,category=open,0.07472,0.523389,1.183111
program=computer science & engineering;stream=b.e/b. tech,category=open,0.07472,0.523389,1.183111
program=mechanical engineering,category=open,0.036358,0.518519,1.172102
program=mechanical engineering;stream=b.e/b. tech,category=open,0.036358,0.518519,1.172102
program=civil engineering,quota=home state,0.02879,0.502591,0.817552
program=civil engineering;stream=b.e/b. tech,quota=home state,0.02879,0.502591,0.817552
program=civil engineering,quota=all india,0.028493,0.497409,1.291137
program=civil engineering;stream=b.e/b. tech,quota=all india,0.028493,0.497409,1.291137
district=hooghly,category=open,0.026638,0.470511,1.063582
district=hooghly;stream=b.e/b. tech,category=open,0.026638,0.470511,1.063582
district=paschim bardhaman;stream=b.e/b. tech,quota=home state,0.037991,0.469294,0.763389
district=paschim bardhaman,quota=home state,0.037991,0.468435,0.761992
district=north 24 parganas;quota=home state,category=tuition fee waiver,0.022557,0.466258,2.933592
program=computer science & engineering,quota=all india,0.066409,0.465177,1.20747
program=computer science & engineering;stream=b.e/b. tech,quota=all india,0.066409,0.465177,1.20747
category=st;stream=b.e/b. tech,district=kolkata,0.028419,0.458134,1.350749
program=information technology,category=open,0.042888,0.456196,1.031223
program=information technology;stream=b.e/b. tech,category=open,0.042888,0.456196,1.031223
program=electrical engineering,quota=all india,0.04452,0.453515,1.177199
program=electrical engineering;stream=b.e/b. tech,quota=all india,0.04452,0.453515,1.177199
category=st,district=kolkata,0.028419,0.451119,1.330066
category=st;quota=home state,district=kolkata,0.028419,0.451119,1.330066
stream=b.e/b. tech,category=open,0.440825,0.443955,1.003552
program=electronics & communication engineering,quota=home state,0.031758,0.441692,0.71849
program=electronics & communication engineering;stream=b.e/b. tech,quota=home state,0.031758,0.441692,0.71849
program=information technology;quota=home state,district=kolkata,0.024931,0.435233,1.283228
district=north 24 parganas,quota=home state,0.048379,0.42228,0.686912
district=north 24 parganas;stream=b.e/b. tech,quota=home state,0.048379,0.42228,0.686912
program=mechanical engineering,quota=all india,0.029383,0.419048,1.087732
program=mechanical engineering;stream=b.e/b. tech,quota=all india,0.029383,0.419048,1.087732
district=hooghly,quota=all india,0.023076,0.407602,1.058021
district=hooghly;stream=b.e/b. tech,quota=all india,0.023076,0.407602,1.058021
program=information technology,district=kolkata,0.037991,0.404104,1.191449
program=information technology;stream=b.e/b. tech,district=kolkata,0.037991,0.404104,1.191449
category=open;quota=home state,district=kolkata,0.023076,0.403896,1.190835
program=information technology,quota=all india,0.036729,0.390687,1.014115
program=information technology;stream=b.e/b. tech,quota=all india,0.036729,0.390687,1.014115
stream=b.e/b. tech,quota=all india,0.384655,0.387386,1.005547
category=sc;stream=b.e/b. tech,district=kolkata,0.038881,0.385294,1.13599
district=kolkata,category=open,0.130593,0.385036,0.870368
district=kolkata;stream=b.e/b. tech,category=open,0.130593,0.385036,0.870368
category=sc,district=kolkata,0.038881,0.381646,1.125234
category=sc;quota=home state,district=kolkata,0.038881,0.381646,1.125234
quota=home state;stream=b.e/b. tech,district=kolkata,0.231654,0.380825,1.122812
quota=home state,district=kolkata,0.231654,0.376826,1.111021
category=obc - b;stream=b.e/b. tech,district=kolkata,0.024041,0.34322,1.011941
stream=b.e/b. tech,district=kolkata,0.33917,0.341578,1.007099
category=obc - b,district=kolkata,0.024041,0.338912,0.999238
category=obc - b;quota=home state,district=kolkata,0.024041,0.338912,0.999238
category=obc - a;stream=b.e/b. tech,district=kolkata,0.024783,0.337033,0.993699
district=nadia,category=open,0.026119,0.333966,0.754924
district=nadia;stream=b.e/b. tech,category=open,0.026119,0.333966,0.754924
category=obc - a,district=kolkata,0.024783,0.333001,0.98181
category=obc - a;quota=home state,district=kolkata,0.024783,0.333001,0.98181
district=kolkata,quota=all india,0.107517,0.316998,0.822841
district=kolkata;stream=b.e/b. tech,quota=all india,0.107517,0.316998,0.822841
district=south 24 parganas,quota=home state,0.022112,0.316013,0.51405
district=south 24 parganas;stream=b.e/b. tech,quota=home state,0.022112,0.316013,0.51405
category=tuition fee waiver;stream=b.e/b. tech,district=kolkata,0.049714,0.314112,0.926117
category=tuition fee waiver,district=kolkata,0.049714,0.312792,0.922226
category=tuition fee waiver;quota=home state,district=kolkata,0.049714,0.312792,0.922226
category=open;stream=b.e/b. tech,district=kolkata,0.130593,0.296246,0.873444
category=open,district=kolkata,0.130593,0.295203,0.870368
program=computer science & engineering;quota=home state,district=kolkata,0.021889,0.286686,0.845257
quota=all india;stream=b.e/b. tech,district=kolkata,0.107517,0.279514,0.82411
quota=all india,district=kolkata,0.107517,0.279083,0.822841
category=open;quota=all india,district=kolkata,0.107517,0.279083,0.822841
district=nadia,quota=all india,0.021741,0.277989,0.721582
district=nadia;stream=b.e/b. tech,quota=all india,0.021741,0.277989,0.721582
program=electrical engineering,district=kolkata,0.026638,0.271353,0.800049
program=electrical engineering;stream=b.e/b. tech,district=kolkata,0.026638,0.271353,0.800049
