Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
914,Round 1,"Supreme Knowledge Foundation Group of Institutions, Mankundu, Hooghly",Electrical Engineering,B.E/B. Tech,All India,Open,37784.0,63065
915,Round 1,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,7212.0,25588
916,Round 1,Techno International Batanagar,Electrical Engineering,B.E/B. Tech,All India,Open,43481.0,63173
917,Round 1,"Techno International New Town, Rajarhat, New Town",Electrical Engineering,B.E/B. Tech,All India,Open,13990.0,41857
918,Round 1,Jadavpur University,Electrical Engineering,B.E/B. Tech,All India,Open,62.0,149
919,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electrical Engineering,B.E/B. Tech,All India,Open,7130.0,17812
920,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Electrical Engineering,B.E/B. Tech,All India,Open,19917.0,45978
922,Round 1,"Camellia Institute of Technology, Badu Road, Madhyamgram",Electrical Engineering,B.E/B. Tech,All India,Open,36729.0,64834
923,Round 1,"Camellia Institute of Technology & Management, Bainchi, Hooghly",Electrical Engineering,B.E/B. Tech,All India,Open,35367.0,61634
925,Round 1,"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,5381.0,42252
926,Round 1,"Calcutta Institute of Technology, Uluberia, Howrah",Electrical Engineering,B.E/B. Tech,All India,Open,9184.0,43007
927,Round 1,"Global Institute of Management and Technology, Krishnanagar, Nadia",Electrical Engineering,B.E/B. Tech,All India,Open,32468.0,48910
928,Round 1,"Gargi Memorial Institute of Technology, Baruipur, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,17815.0,58444
929,Round 1,"Future Institute of Technology, Boral, Garia",Electrical Engineering,B.E/B. Tech,All India,Open,29970.0,62928
930,Round 1,"Future Institute of Engineering & Management, Sonarpur",Electrical Engineering,B.E/B. Tech,All India,Open,20275.0,51872
931,Round 1,"Heritage Institute of Technology, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,2465.0,6614
932,Round 1,"Elitte College of Engineering,Mahispota, Sodepur",Electrical Engineering,B.E/B. Tech,All India,Open,42336.0,61728
933,Round 1,"Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad",Electrical Engineering,B.E/B. Tech,All India,Open,35683.0,64723
934,Round 1,"Durgapur Institute of Advanced Technology & Management, Durgapur",Electrical Engineering,B.E/B. Tech,All India,Open,2905.0,50670
935,Round 1,"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",Information Technology,B.E/B. Tech,All India,Open,4131.0,17854
936,Round 1,"Bankura Unnayani Institute of Engineering, Bankura",Information Technology,B.E/B. Tech,All India,Open,12905.0,41813
937,Round 1,"Camellia Institute of Technology, Badu Road, Madhyamgram",Information Technology,B.E/B. Tech,All India,Open,38832.0,49451
939,Round 1,"Bengal Institute of Technology, Dhapa, Kolkata",Information Technology,B.E/B. Tech,All India,Open,10189.0,32556
940,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Information Technology,B.E/B. Tech,All India,Open,17320.0,38496
941,Round 1,"B.P. Poddar Institute of Management & Technology, Kolkata",Information Technology,B.E/B. Tech,All India,Open,7023.0,13734
942,Round 1,"Bengal College of Engineering & Technology, Durgapur",Information Technology,B.E/B. Tech,All India,Open,7109.0,35110
944,Round 1,"Narula Institute of Technology, Agarpara, Kolkata",Information Technology,B.E/B. Tech,All India,Open,9658.0,24278
945,Round 1,"Mckv Institute of Engineering, Liluah, Howrah",Information Technology,B.E/B. Tech,All India,Open,15979.0,25068
946,Round 1,"Meghnad Saha Institute of Technology, Kolkata",Information Technology,B.E/B. Tech,All India,Open,7388.0,16419
947,Round 1,"Institute of Science and Technology, Paschim Medinipur",Information Technology,B.E/B. Tech,All India,Open,4495.0,43223
949,Round 1,"Jis College of Engineering, Kalyani, Nadia",Information Technology,B.E/B. Tech,All India,Open,8093.0,31501
950,Round 1,"Haldia Institute of Technology, Haldia, Purba Medinipur",Information Technology,B.E/B. Tech,All India,Open,5518.0,8395
951,Round 1,"Guru Nanak Institute of Technology, Panihati, Sodepur",Information Technology,B.E/B. Tech,All India,Open,13092.0,31691
952,Round 1,"Heritage Institute of Technology, Kolkata",Information Technology,B.E/B. Tech,All India,Open,2467.0,3110
953,Round 1,"Future Institute of Engineering & Management, Sonarpur",Information Technology,B.E/B. Tech,All India,Open,15554.0,26579
954,Round 1,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,Open,1988.0,3637
955,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,Open,1230.0,2979
956,Round 1,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,Open,3587.0,5012
957,Round 1,Swami Vivekananda University,Electrical Engineering,B.E/B. Tech,All India,Open,20986.0,63823
958,Round 1,"Aliah University, New Town",Electrical Engineering,B.E/B. Tech,Home State,Open,4591.0,6969
959,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Information Technology,B.E/B. Tech,All India,Open,12183.0,24143
960,Round 1,"College of Engineering and Management, Kolaghat",Information Technology,B.E/B. Tech,All India,Open,14077.0,36642
961,Round 1,"Om Dayal Group of Institutions, Uluberia, Howrah",Electrical Engineering,B.E/B. Tech,All India,Open,38644.0,60400
962,Round 1,"Rcc Institute of Information Technology, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,3973.0,24419
963,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Civil Engineering,B.E/B. Tech,All India,Open,12592.0,29854
964,Round 1,University Of Calcutta,Electrical Engineering,B.E/B. Tech,All India,Open,552.0,995
965,Round 1,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,Open,2582.0,3350
966,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,Open,792.0,1314
968,Round 1,"Aliah University, New Town",Civil Engineering,B.E/B. Tech,Home State,Open,4554.0,8982
969,Round 1,Swami Vivekananda University,Civil Engineering,B.E/B. Tech,All India,Open,26318.0,63641
970,Round 1,"Techno Main Salt Lake, Sector-V, Salt Lake",Civil Engineering,B.E/B. Tech,All India,Open,4522.0,21606
971,Round 1,"Adamas University, Barasat",Civil Engineering,B.E/B. Tech,All India,Open,17289.0,64347
972,Round 1,"Techno India University, Salt Lake",Civil Engineering,B.E/B. Tech,All India,Open,4091.0,20387
975,Round 1,"Academy of Technology, Adisaptagram, Hooghly",Electrical Engineering,B.E/B. Tech,All India,Open,10718.0,27125
976,Round 1,"Institute of Science and Technology, Paschim Medinipur",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,15914.0,64735
978,Round 1,"Swami Vivekananda Institute of Science & Technology, Sonarpur",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,16473.0,64319
979,Round 1,"Regent Education and Research Foundation, Barasat, Kolkata",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,40567.0,62202
981,Round 1,"Academy of Technology, Adisaptagram, Hooghly",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,9684.0,26591
983,Round 1,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Electrical Engineering,B.E/B. Tech,All India,Open,8187.0,38803
984,Round 1,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,Open,4458.0,9411
985,Round 1,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,Open,3463.0,8497
986,Round 1,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,Open,1119.0,1646
987,Round 1,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,Open,3036.0,7964
988,Round 1,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,Open,4153.0,6190
989,Round 1,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,Open,1664.0,3291
990,Round 1,"Dr. B. C. Roy Engineering College, Durgapur",Electrical Engineering,B.E/B. Tech,All India,Open,11487.0,59696
991,Round 1,"College of Engineering and Management, Kolaghat",Electrical Engineering,B.E/B. Tech,All India,Open,14997.0,56025
992,Round 1,"Budge Budge Institute of Technology, Budge-Budge",Electrical Engineering,B.E/B. Tech,All India,Open,19081.0,62243
995,Round 1,"Bengal College of Engineering & Technology, Durgapur",Electrical Engineering,B.E/B. Tech,All India,Open,20207.0,53545
996,Round 1,"B.P. Poddar Institute of Management & Technology, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,12876.0,28740
997,Round 1,"Bankura Unnayani Institute of Engineering, Bankura",Electrical Engineering,B.E/B. Tech,All India,Open,15739.0,60769
998,Round 1,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,Open,553.0,990
999,Round 1,"Mallabhum Institute of Technology, Bishnupur, Bankura",Civil Engineering,B.E/B. Tech,All India,Open,18268.0,62242
1000,Round 1,"Murshidabad College of Engineering & Technology, Murshidabad",Civil Engineering,B.E/B. Tech,All India,Open,12356.0,63588
1001,Round 1,"Netaji Subhas Engineering College, Garia, Kolkata",Civil Engineering,B.E/B. Tech,All India,Open,15765.0,32543
