Sr.No,Round,Institute,Program,Stream,Quota,Category,Opening Rank,Closing Rank
1938,Round 2,"Future Institute of Technology, Boral, Garia",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,22103.0,64305
1939,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,4658.0,10883
1940,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Data Science),B.E/B. Tech,All India,Open,4775.0,8026
1942,Round 2,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Data Science),B.E/B. Tech,All India,Open,1967.0,5345
1946,Round 2,"Heritage Institute of Technology, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,863.0,4597
1953,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,1782.0,7021
1954,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B. Tech,All India,Open,12683.0,32776
1961,Round 2,Jadavpur University,Architectural Engineering,B.E/B. Tech,All India,Open,1000.0,1160
1962,Round 2,Jadavpur University,Architectural Engineering,B.E/B. Tech,Home State,Open,1439.0,2704
1966,Round 2,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Artificial Intelligence And Machine Learning,B.E/B. Tech,All India,Open,9843.0,21069
1977,Round 2,University Of Calcutta,Polymer Science & Technology,B.E/B. Tech,All India,Open,2128.0,3623
1980,Round 2,Jadavpur University,B.Pharm/Pharmaceutical Technology,B.E/B. Tech,All India,Open,224.0,890
1983,Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B. Tech,All India,Open,774.0,808
1986,Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B. Tech,Home State,Open,1137.0,1873
2040,Round 2,Jadavpur University,Construction Engineering,B.E/B. Tech,All India,Open,615.0,683
2041,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Computer Science & Engineering (Cyber Security),B.E/B. Tech,All India,Open,4799.0,14608
2043,Round 2,Jadavpur University,Construction Engineering,B.E/B. Tech,Home State,Open,1120.0,1760
2055,Round 2,Jadavpur University,B.Pharm/Pharmaceutical Technology,B.E/B. Tech,Home State,Open,1456.0,2516
2064,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Apparel & Production Management,B.E/B. Tech,Home State,Open,7444.0,16560
2066,Round 2,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,All India,Open,1740.0,3709
2075,Round 2,"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology,B. Pharma,Home State,Open,567.0,2754
2084,Round 2,"Jis College of Engineering, Kalyani, Nadia",Agricultural Engineering,B.E/B. Tech,All India,Open,10247.0,53412
2085,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",Food Technology,B.E/B. Tech,All India,Open,6091.0,52126
2087,Round 2,"Kaji Nazrul University, Asansol",Metallurgical And Materials Engineering,B.E/B. Tech,All India,Open,4215.0,16876
2089,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Leather Technology,B.E/B. Tech,Home State,Open,5366.0,9859
2090,Round 2,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Food Technology,B.E/B. Tech,Home State,Open,8207.0,14609
2091,Round 2,"Hemnalini Memorial College of Engineering, Haringhata",Food Technology,B.E/B. Tech,All India,Open,56297.0,64372
2092,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Food Technology,B.E/B. Tech,All India,Open,12038.0,51055
2093,Round 2,"Guru Nanak Institute of Technology, Panihati, Sodepur",Food Technology,B.E/B. Tech,All India,Open,14343.0,62210
2094,Round 2,"Kaji Nazrul University, Asansol",Mining Engineering,B.E/B. Tech,All India,Open,5871.0,13940
2095,Round 2,"Techno India University, Salt Lake",Biotechnology,B.E/B. Tech,All India,Open,1702.0,22076
2096,Round 2,"Heritage Institute of Technology, Kolkata",Biotechnology,B.E/B. Tech,All India,Open,3339.0,13885
2097,Round 2,West Bengal University of Animal & Fishery Sciences,Dairy Technology,B.E/B. Tech,Home State,Open,2769.0,8465
2098,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Biotechnology,B.E/B. Tech,All India,Open,16136.0,39711
2101,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Textile Technology,B.E/B. Tech,Home State,Open,5955.0,14522
2102,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology,B.E/B. Tech,Home State,Open,4314.0,11585
2103,Round 2,Jadavpur University,Production Engineering,B.E/B. Tech,All India,Open,431.0,585
2104,Round 2,"Netaji Subhas Engineering College, Garia, Kolkata",Biomedical Engineering,B.E/B. Tech,All India,Open,4812.0,53359
2105,Round 2,"Jis College of Engineering, Kalyani, Nadia",Biomedical Engineering,B.E/B. Tech,All India,Open,6919.0,45077
2106,Round 2,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,Open,614.0,923
2160,Round 2,Jadavpur University,Chemical Engineering,B.E/B. Tech,All India,Open,361.0,401
2161,Round 2,University Of Calcutta,Chemical Engineering,B.E/B. Tech,All India,Open,962.0,1880
2162,Round 2,"Heritage Institute of Technology, Kolkata",Chemical Engineering,B.E/B. Tech,All India,Open,3627.0,14279
2163,Round 2,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,Open,404.0,685
2164,Round 2,"Swami Vivekananda Institute of Science & Technology, Sonarpur",Mechanical Engineering,B.E/B. Tech,All India,Open,47280.0,63267
2165,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",Mechanical Engineering,B.E/B. Tech,All India,Open,9611.0,34099
2166,Round 2,"Techno International New Town, Rajarhat, New Town",Mechanical Engineering,B.E/B. Tech,All India,Open,20796.0,63272
2167,Round 2,"Netaji Subhas Engineering College, Garia, Kolkata",Mechanical Engineering,B.E/B. Tech,All India,Open,18381.0,62359
2168,Round 2,Jadavpur University,Mechanical Engineering,B.E/B. Tech,All India,Open,203.0,338
2169,Round 2,University Of Calcutta,Information Technology,B.E/B. Tech,All India,Open,678.0,979
2171,Round 2,"Techno India University, Salt Lake",Mechanical Engineering,B.E/B. Tech,All India,Open,7782.0,32007
2172,Round 2,Swami Vivekananda University,Mechanical Engineering,B.E/B. Tech,All India,Open,31485.0,31485
2173,Round 2,"Aliah University, New Town",Mechanical Engineering,B.E/B. Tech,Home State,Open,4418.0,10728
2202,Round 2,"Mckv Institute of Engineering, Liluah, Howrah",Automobile Engineering,B.E/B. Tech,All India,Open,28912.0,60095
2203,Round 2,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Automobile Engineering,B.E/B. Tech,All India,Open,20904.0,44079
2204,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Chemical Engineering,B.E/B. Tech,All India,Open,5885.0,29863
2205,Round 2,"Calcutta Institute of Technology, Uluberia, Howrah",Chemical Engineering,B.E/B. Tech,All India,Open,6481.0,45849
2206,Round 2,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,Open,345.0,553
2207,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Mechanical Engineering,B.E/B. Tech,Home State,Open,7644.0,11735
2208,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Mechanical Engineering,B.E/B. Tech,Home State,Open,2840.0,5056
2209,Round 2,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Mechanical Engineering,B.E/B. Tech,Home State,Open,5865.0,14013
2210,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,Open,1548.0,2549
2211,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Mechanical Engineering,B.E/B. Tech,Home State,Open,4041.0,12799
2212,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Mechanical Engineering,B.E/B. Tech,Home State,Open,4802.0,9234
2213,Round 2,"Mckv Institute of Engineering, Liluah, Howrah",Mechanical Engineering,B.E/B. Tech,All India,Open,21467.0,62710
2214,Round 2,"Jis College of Engineering, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,All India,Open,28774.0,45906
2215,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Mechanical Engineering,B.E/B. Tech,All India,Open,33428.0,61214
2216,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Mechanical Engineering,B.E/B. Tech,All India,Open,27528.0,64724
2217,Round 2,"Mallabhum Institute of Technology, Bishnupur, Bankura",Mechanical Engineering,B.E/B. Tech,All India,Open,38494.0,38494
2218,Round 2,"Dr. B. C. Roy Engineering College, Durgapur",Mechanical Engineering,B.E/B. Tech,All India,Open,15025.0,61696
2219,Round 2,"College of Engineering and Management, Kolaghat",Mechanical Engineering,B.E/B. Tech,All India,Open,22199.0,62483
2220,Round 2,"Calcutta Institute of Technology, Uluberia, Howrah",Mechanical Engineering,B.E/B. Tech,All India,Open,19226.0,60449
2221,Round 2,"Budge Budge Institute of Technology, Budge-Budge",Mechanical Engineering,B.E/B. Tech,All India,Open,39113.0,42698
2223,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Mechanical Engineering,B.E/B. Tech,All India,Open,11646.0,54578
2224,Round 2,"Future Institute of Engineering & Management, Sonarpur",Mechanical Engineering,B.E/B. Tech,All India,Open,51257.0,61668
2226,Round 2,"Durgapur Institute of Advanced Technology & Management, Durgapur",Mechanical Engineering,B.E/B. Tech,All India,Open,35764.0,55216
2227,Round 2,"Asansol Engineering College, Asansol, Burdwan",Mechanical Engineering,B.E/B. Tech,All India,Open,18800.0,62088
2228,Round 2,"Academy of Technology, Adisaptagram, Hooghly",Mechanical Engineering,B.E/B. Tech,All India,Open,17299.0,63069
2229,Round 2,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Mechanical Engineering,B.E/B. Tech,All India,Open,39108.0,53630
2230,Round 2,"Bengal College of Engineering & Technology, Durgapur",Mechanical Engineering,B.E/B. Tech,All India,Open,19443.0,57145
2232,Round 2,"Heritage Institute of Technology, Kolkata",Information Technology,B.E/B. Tech,All India,Open,2540.0,3788
2233,Round 2,"Techno India University, Salt Lake",Electrical Engineering,B.E/B. Tech,All India,Open,4254.0,22273
2234,Round 2,University Of Calcutta,Electrical Engineering,B.E/B. Tech,All India,Open,947.0,1162
2236,Round 2,"Mckv Institute of Engineering, Liluah, Howrah",Information Technology,B.E/B. Tech,All India,Open,16452.0,35779
2237,Round 2,"Institute of Science and Technology, Paschim Medinipur",Information Technology,B.E/B. Tech,All India,Open,20656.0,64841
2238,Round 2,"Jis College of Engineering, Kalyani, Nadia",Information Technology,B.E/B. Tech,All India,Open,15228.0,56042
2239,Round 2,"Aliah University, New Town",Electrical Engineering,B.E/B. Tech,Home State,Open,4886.0,8255
2240,Round 2,Swami Vivekananda University,Electrical Engineering,B.E/B. Tech,All India,Open,20986.0,30347
2241,Round 2,"Aliah University, New Town",Civil Engineering,B.E/B. Tech,Home State,Open,4554.0,12356
2242,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Information Technology,B.E/B. Tech,All India,Open,15424.0,37567
2243,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,Open,1988.0,4093
2244,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,Open,2536.0,3290
2245,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,Open,2628.0,3966
2246,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,Open,969.0,1473
2247,Round 2,"Future Institute of Engineering & Management, Sonarpur",Information Technology,B.E/B. Tech,All India,Open,16725.0,41454
2248,Round 2,"Asansol Engineering College, Asansol, Burdwan",Information Technology,B.E/B. Tech,All India,Open,20890.0,43368
2249,Round 2,"B.P. Poddar Institute of Management & Technology, Kolkata",Information Technology,B.E/B. Tech,All India,Open,8342.0,19224
2250,Round 2,"Bankura Unnayani Institute of Engineering, Bankura",Information Technology,B.E/B. Tech,All India,Open,21666.0,64821
2251,Round 2,"Bengal College of Engineering & Technology, Durgapur",Information Technology,B.E/B. Tech,All India,Open,21717.0,64717
2252,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Information Technology,B.E/B. Tech,All India,Open,7388.0,23221
2253,Round 2,"Dr. B. C. Roy Engineering College, Durgapur",Information Technology,B.E/B. Tech,All India,Open,13710.0,35418
2254,Round 2,"College of Engineering and Management, Kolaghat",Information Technology,B.E/B. Tech,All India,Open,14077.0,60889
2257,Round 2,"Bengal Institute of Technology, Dhapa, Kolkata",Information Technology,B.E/B. Tech,All India,Open,26259.0,53441
2258,Round 2,"Budge Budge Institute of Technology, Budge-Budge",Information Technology,B.E/B. Tech,All India,Open,37940.0,63721
2259,Round 2,"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",Information Technology,B.E/B. Tech,All India,Open,8730.0,38912
2260,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Information Technology,B.E/B. Tech,All India,Open,5518.0,11597
2261,Round 2,"Guru Nanak Institute of Technology, Panihati, Sodepur",Information Technology,B.E/B. Tech,All India,Open,23911.0,50592
2263,Round 2,"Hooghly Engineering & Technology College, Hooghly",Mechanical Engineering,B.E/B. Tech,All India,Open,40030.0,58601
2264,Round 2,"Ideal Institute of Engineering, Kalyani",Mechanical Engineering,B.E/B. Tech,All India,Open,26061.0,26061
2265,Round 2,"Heritage Institute of Technology, Kolkata",Mechanical Engineering,B.E/B. Tech,All India,Open,4081.0,14462
2266,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,Open,3855.0,5592
2267,Round 2,Jadavpur University,Information Technology,B.E/B. Tech,Home State,Open,92.0,202
2268,Round 2,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Information Technology,B.E/B. Tech,All India,Open,8287.0,13787
2269,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",Information Technology,B.E/B. Tech,All India,Open,4120.0,6777
2270,Round 2,"Techno International New Town, Rajarhat, New Town",Information Technology,B.E/B. Tech,All India,Open,9213.0,30550
2272,Round 2,"Netaji Subhas Engineering College, Garia, Kolkata",Information Technology,B.E/B. Tech,All India,Open,8383.0,20222
2273,Round 2,"Siliguri Institute of Technology, Siliguri",Information Technology,B.E/B. Tech,All India,Open,22167.0,64103
2274,Round 2,"Rcc Institute of Information Technology, Kolkata",Information Technology,B.E/B. Tech,All India,Open,9319.0,19999
2275,Round 2,Jadavpur University,Information Technology,B.E/B. Tech,All India,Open,65.0,89
2276,Round 2,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,All India,Open,2526.0,3552
2279,Round 2,"Ideal Institute of Engineering, Kalyani",Electrical Engineering,B.E/B. Tech,All India,Open,24702.0,61861
2280,Round 2,"Hooghly Engineering & Technology College, Hooghly",Electrical Engineering,B.E/B. Tech,All India,Open,49753.0,64581
2281,Round 2,"Heritage Institute of Technology, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,2465.0,10097
2283,Round 2,"Institute of Science and Technology, Paschim Medinipur",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,35847.0,43749
2284,Round 2,"Academy of Technology, Adisaptagram, Hooghly",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,14305.0,47551
2285,Round 2,"Techno India University, Salt Lake",Civil Engineering,B.E/B. Tech,All India,Open,15195.0,42205
2288,Round 2,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,Open,622.0,1095
2289,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Civil Engineering,B.E/B. Tech,Home State,Open,2550.0,13707
2290,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,Open,5950.0,12617
2291,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,Open,2501.0,6223
2292,Round 2,"Asansol Engineering College, Asansol, Burdwan",Civil Engineering,B.E/B. Tech,All India,Open,16828.0,58810
2293,Round 2,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Civil Engineering,B.E/B. Tech,All India,Open,16500.0,64828
2294,Round 2,"Bankura Unnayani Institute of Engineering, Bankura",Civil Engineering,B.E/B. Tech,All India,Open,19130.0,56929
2295,Round 2,"Bengal College of Engineering & Technology, Durgapur",Civil Engineering,B.E/B. Tech,All India,Open,14176.0,60397
2296,Round 2,"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",Civil Engineering,B.E/B. Tech,All India,Open,14093.0,63359
2297,Round 2,"Calcutta Institute of Technology, Uluberia, Howrah",Civil Engineering,B.E/B. Tech,All India,Open,19712.0,49047
2298,Round 2,"Dr. B. C. Roy Engineering College, Durgapur",Civil Engineering,B.E/B. Tech,All India,Open,18794.0,61714
2299,Round 2,"Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex, Dum Dum",Civil Engineering,B.E/B. Tech,All India,Open,23653.0,63509
2300,Round 2,"Future Institute of Technology, Boral, Garia",Civil Engineering,B.E/B. Tech,All India,Open,56385.0,56385
2301,Round 2,"Elitte College of Engineering,Mahispota, Sodepur",Civil Engineering,B.E/B. Tech,All India,Open,61932.0,61932
2302,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Civil Engineering,B.E/B. Tech,All India,Open,14617.0,64026
2303,Round 2,"Heritage Institute of Technology, Kolkata",Civil Engineering,B.E/B. Tech,All India,Open,2542.0,17482
2304,Round 2,"Hooghly Engineering & Technology College, Hooghly",Civil Engineering,B.E/B. Tech,All India,Open,24470.0,63019
2305,Round 2,"Ideal Institute of Engineering, Kalyani",Civil Engineering,B.E/B. Tech,All India,Open,2911.0,56595
2306,Round 2,"Jis College of Engineering, Kalyani, Nadia",Civil Engineering,B.E/B. Tech,All India,Open,18804.0,58103
2308,Round 2,"Imps College of Engineering & Technology, Malda",Civil Engineering,B.E/B. Tech,All India,Open,46092.0,63236
2309,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Civil Engineering,B.E/B. Tech,All India,Open,18059.0,64179
2310,Round 2,"Murshidabad College of Engineering & Technology, Murshidabad",Civil Engineering,B.E/B. Tech,All India,Open,19142.0,61646
2311,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Civil Engineering,B.E/B. Tech,All India,Open,34419.0,62915
2312,Round 2,"Netaji Subhas Engineering College, Garia, Kolkata",Civil Engineering,B.E/B. Tech,All India,Open,21366.0,62599
2313,Round 2,"Nshm Knowledge Campus, Durgapur Group of Institutions",Civil Engineering,B.E/B. Tech,All India,Open,51997.0,51997
2315,Round 2,"Siliguri Institute of Technology, Siliguri",Civil Engineering,B.E/B. Tech,All India,Open,11326.0,64311
2317,Round 2,"Swami Vivekananda Institute of Science & Technology, Sonarpur",Civil Engineering,B.E/B. Tech,All India,Open,55729.0,55729
2318,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",Civil Engineering,B.E/B. Tech,All India,Open,13674.0,36886
2319,Round 2,"Techno International New Town, Rajarhat, New Town",Civil Engineering,B.E/B. Tech,All India,Open,26474.0,63794
2320,Round 2,Jadavpur University,Civil Engineering,B.E/B. Tech,All India,Open,125.0,572
2321,Round 2,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,Open,150.0,322
2322,Round 2,"Siliguri Institute of Technology, Siliguri",Electrical Engineering,B.E/B. Tech,All India,Open,18160.0,57885
2323,Round 2,"Nshm Knowledge Campus, Durgapur Group of Institutions",Electrical Engineering,B.E/B. Tech,All India,Open,51176.0,51427
2324,Round 2,"Netaji Subhas Engineering College, Garia, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,10380.0,50332
2325,Round 2,Techno International Batanagar,Electrical Engineering,B.E/B. Tech,All India,Open,51052.0,51052
2326,Round 2,"St. Thomas College of Engineering & Technology, Khidirpur, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,8200.0,42219
2327,Round 2,"Techno Main Salt Lake, Sector-V, Salt Lake",Electrical Engineering,B.E/B. Tech,All India,Open,10182.0,28580
2328,Round 2,"Techno International New Town, Rajarhat, New Town",Electrical Engineering,B.E/B. Tech,All India,Open,29217.0,63618
2329,Round 2,"Adamas University, Barasat",Electrical Engineering,B.E/B. Tech,All India,Open,53745.0,62797
2330,Round 2,Jadavpur University,Electrical Engineering,B.E/B. Tech,All India,Open,62.0,149
2331,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,Open,3036.0,9661
2332,Round 2,"Govt. College of Engg. & Textile Technology, Berhampore",Electrical Engineering,B.E/B. Tech,Home State,Open,4153.0,6958
2333,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Electrical Engineering,B.E/B. Tech,Home State,Open,2281.0,4187
2334,Round 2,"Swami Vivekananda Institute of Science & Technology, Sonarpur",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,33190.0,64319
2336,Round 2,"Regent Education and Research Foundation, Barasat, Kolkata",Electrical & Electronics Engineering,B.E/B. Tech,All India,Open,40567.0,53740
2337,Round 2,"Rcc Institute of Information Technology, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,14019.0,37593
2338,Round 2,"Ghani Khan Choudhury Institute of Engineering & Technology, Malda",Electrical Engineering,B.E/B. Tech,Home State,Open,4458.0,11402
2340,Round 2,"Bengal College of Engineering & Technology, Durgapur",Electrical Engineering,B.E/B. Tech,All India,Open,20207.0,59071
2341,Round 2,"Bankura Unnayani Institute of Engineering, Bankura",Electrical Engineering,B.E/B. Tech,All India,Open,28587.0,63526
2342,Round 2,"Abacus Institute of Engineering & Management, Mogra, Hooghly",Electrical Engineering,B.E/B. Tech,All India,Open,12243.0,61148
2343,Round 2,"B.P. Poddar Institute of Management & Technology, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,14607.0,51616
2344,Round 2,"Ramkrishna Mahato Government Engineering College, Purulia",Electrical Engineering,B.E/B. Tech,Home State,Open,4336.0,10079
2345,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,Open,1119.0,1936
2346,Round 2,"Institute of Science and Technology, Paschim Medinipur",Electrical Engineering,B.E/B. Tech,All India,Open,37438.0,40563
2347,Round 2,"Mckv Institute of Engineering, Liluah, Howrah",Electrical Engineering,B.E/B. Tech,All India,Open,21989.0,64390
2348,Round 2,"Jis College of Engineering, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,All India,Open,21462.0,59535
2349,Round 2,"Meghnad Saha Institute of Technology, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,18531.0,60612
2350,Round 2,"Murshidabad College of Engineering & Technology, Murshidabad",Electrical Engineering,B.E/B. Tech,All India,Open,10282.0,60923
2351,Round 2,"Narula Institute of Technology, Agarpara, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,18911.0,64283
2352,Round 2,"Dr. B. C. Roy Engineering College, Durgapur",Electrical Engineering,B.E/B. Tech,All India,Open,12548.0,64175
2353,Round 2,"College of Engineering and Management, Kolaghat",Electrical Engineering,B.E/B. Tech,All India,Open,15697.0,62239
2354,Round 2,"Calcutta Institute of Technology, Uluberia, Howrah",Electrical Engineering,B.E/B. Tech,All India,Open,9184.0,57309
2355,Round 2,"Calcutta Institute of Engineering & Management, Tollygunge, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,5381.0,57155
2356,Round 2,"Budge Budge Institute of Technology, Budge-Budge",Electrical Engineering,B.E/B. Tech,All India,Open,58794.0,58794
2358,Round 2,"Haldia Institute of Technology, Haldia, Purba Medinipur",Electrical Engineering,B.E/B. Tech,All India,Open,11931.0,38876
2359,Round 2,"Guru Nanak Institute of Technology, Panihati, Sodepur",Electrical Engineering,B.E/B. Tech,All India,Open,32320.0,62417
2360,Round 2,"Gargi Memorial Institute of Technology, Baruipur, Kolkata",Electrical Engineering,B.E/B. Tech,All India,Open,17815.0,37331
2361,Round 2,"Future Institute of Technology, Boral, Garia",Electrical Engineering,B.E/B. Tech,All India,Open,63023.0,63023
2362,Round 2,"Durgapur Institute of Advanced Technology & Management, Durgapur",Electrical Engineering,B.E/B. Tech,All India,Open,14932.0,62799
2363,Round 2,"Dumkal Institute of Engineering & Technology, Dumkal, Murshidabad",Electrical Engineering,B.E/B. Tech,All India,Open,38084.0,44028
2364,Round 2,"Future Institute of Engineering & Management, Sonarpur",Electrical Engineering,B.E/B. Tech,All India,Open,20275.0,56592
2365,Round 2,"Academy of Technology, Adisaptagram, Hooghly",Electrical Engineering,B.E/B. Tech,All India,Open,10718.0,47626
2366,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Electrical Engineering,B.E/B. Tech,Home State,Open (PwD),51906.0,51906
2367,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Electrical Engineering,B.E/B. Tech,Home State,Open (PwD),48438.0,48438
2368,Round 2,Jadavpur University,Electrical Engineering,B.E/B. Tech,Home State,Open (PwD),3183.0,5598
2369,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Civil Engineering,B.E/B. Tech,Home State,Open (PwD),35561.0,35561
2370,Round 2,"Cooch Behar Government Engineering College, Cooch Behar",Civil Engineering,B.E/B. Tech,Home State,Open (PwD),52944.0,52944
2371,Round 2,Jadavpur University,Civil Engineering,B.E/B. Tech,Home State,Open (PwD),23862.0,29691
2372,Round 2,"Maulana Abul Kalam Azad University of Technology, West Bengal",Information Technology,B.E/B. Tech,Home State,Open (PwD),33019.0,54364
2373,Round 2,University Of Calcutta,Information Technology,B.E/B. Tech,Home State,Open (PwD),12029.0,12029
2374,Round 2,Jadavpur University,Information Technology,B.E/B. Tech,Home State,Open (PwD),4393.0,7883
2375,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Information Technology,B.E/B. Tech,Home State,Open (PwD),28141.0,28141
2376,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Information Technology,B.E/B. Tech,Home State,Open (PwD),26589.0,26589
2377,Round 2,"Govt. College of Engineering & Ceramic Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,Open (PwD),55769.0,55769
2378,Round 2,"Jalpaiguri Goverment Engineering College,Jalpaiguri",Information Technology,B.E/B. Tech,Home State,Open (PwD),36159.0,44633
2379,Round 2,"Goverment College of Engineering and Leather Technology, Kolkata",Information Technology,B.E/B. Tech,Home State,Open (PwD),59661.0,59661
2380,Round 2,"Kalyani Goverment Engineering College, Kalyani, Nadia",Mechanical Engineering,B.E/B. Tech,Home State,Open (PwD),39947.0,40212
2381,Round 2,Jadavpur University,Mechanical Engineering,B.E/B. Tech,Home State,Open (PwD),7355.0,22288
2382,Round 2,Jadavpur University,Chemical Engineering,B.E/B. Tech,Home State,Open (PwD),9090.0,28393
2394,Round 2,Jadavpur University,Production Engineering,B.E/B. Tech,Home State,Open (PwD),28066.0,28066
2395,Round 2,"Govt. College of Engineering & Textile Technology, Serampore",Textile Technology,B.E/B. Tech,Home State,Open (PwD),57210.0,61338
2398,Round 2,"Institute of Pharmacy, Jalpaiguri",B.Pharm/Pharmaceutical Technology,B. Pharma,Home State,Open (PwD),7118.0,9172
2399,Round 2,"Bidhan Chandra Krishi Viswa Vidyalaya, Mohanpur, Nadia",Agricultural Engineering,B.E/B. Tech,Home State,Open (PwD),52452.0,52452
2400,Round 2,Jadavpur University,B.Pharm/Pharmaceutical Technology,B.E/B. Tech,Home State,Open (PwD),19750.0,19750
